job,company,status,TechStack,Location,Min_sal,Max_sal
PHP Developer,The Web Logics,null,"['PHP', 'MySQL', 'Laravel']",Jaipur,200000,360000.0
Full Stack Developer,New Era Consultancy Services,null,"['Java', 'PHP', 'MySQL', 'HTML', 'CSS', 'JavaScript', 'Python']",Jalgaon,200000,300000.0
Senior Backend Developer,Anand Vivek,null,"['PHP', 'MySQL', 'JavaScript', 'Laravel']",Jamshedpur,216000,336000.0
PHP Developer,Webingo Infotech Solutions LLP,null,"['PHP', 'MySQL', 'HTML', 'AJAX', 'CodeIgniter', 'Laravel']",Kolkata,220000,306000.0
Java Developer,DigiEn InfoSoft LLP,null,"['Java', 'MySQL', 'JSP', 'Bootstrap', 'Spring MVC']",Surat,200000,250000.0
Computer Science & AI Teacher,Vigyan Pragya Foundation,null,"['Python', 'SQL', 'Generative AI Tools']",Vrindavan,200000,300000.0
Mobile App Developer,SmartU,Actively hiring,"['Node.js', 'PostgreSQL', 'Express.js', 'Microsoft Azure', 'React', 'REST API', 'Firebase']",Nagpur,200000,221000.0
Senior Full Stack Developer,Social Booster Media,Actively hiring,"['Python', 'SQL', 'Git', 'Django', 'PostgreSQL', 'Frontend development', 'APIs']",Pune,2000000,2500000.0
Artificial Intelligence (AI) Specialist,Quantasis Private Limited,Actively hiring,"['Python', 'Artificial intelligence', 'Artificial Intelligence Markup Language (AIML)', 'Generative AI Tools', 'Vibe Coding']",Mumbai,300000,360000.0
Laravel Developer,FynTune Solution Private Limited,Actively hiring,"['PHP', 'MySQL', 'Laravel', 'Object Oriented Programming (OOP)']",Navi Mumbai,300000,850000.0
Dot Net Backend Developer Level 3 With Azure,Kiash Solutions LLP,null,null,Chennai,2400000,2700000.0
Java Developer,Ankul Singh,null,"['Java', 'MySQL', 'JSP', 'J2EE', 'Hibernate ORM(Java)', 'Spring MVC']",Hyderabad,2000000,2500000.0
Software Developer,Lenn Chartered & Co,null,"['Java', 'CSS', 'JavaScript', 'Python', '.NET', 'Machine Learning', 'Node.js']",Work from home,1400000,2400000.0
React Native Developer,ALIQAN Technologies,null,null,Bangalore,1200000,1680000.0
Software Developer,Boomerang,Actively hiring,"['Java', 'MySQL', 'Python', '.NET', 'Node.js', 'C++ Programming', 'React']",Work from home,900000,1200000.0
Full Stack Developer,Sparkmile Private Limited,Actively hiring,"['Python', 'React', 'REST API', 'Flask', 'Jenkins', 'CI/CD', 'Postman']",Gurgaon,800000,1080000.0
Software Developer - Backend,Shipthis Inc,null,"['Python', 'FastAPI']",Bangalore,800000,900000.0
Full Stack Developer,Lit Amor,null,"['Node.js', 'Express.js', 'React Native', 'Amazon Web Services (AWS)']",Work from home,700000,1500000.0
Associate Software Developer,Earnest Fintech Limited,Actively hiring,"['Node.js', 'Web development', 'React', 'Flutter', 'Backend development']",Noida,660000,795000.0
Software Developer – Video Management Systems (VMS) & AI Video Analytics,RoadVision AI Private Limited,null,"['Java', 'Python', 'Node.js', 'C++ Programming', 'AWS CloudFormation']",Delhi,600000,900000.0
